No,sales,price,brand,feat
1,8256,3.87,tropicana,0
2,6144,3.87,tropicana,0
3,3840,3.87,tropicana,0
4,8000,3.87,tropicana,0
5,8896,3.87,tropicana,0
6,7168,3.87,tropicana,0
7,10880,3.29,tropicana,0
8,7744,3.29,tropicana,0
9,8512,3.29,tropicana,0
10,5504,3.29,tropicana,0
11,5888,3.56,tropicana,0
12,8384,3.56,tropicana,0
13,5952,3.56,tropicana,0
14,6848,3.56,tropicana,0
15,9216,3.87,tropicana,0
16,12160,2.99,tropicana,0
17,12672,2.99,tropicana,0
18,6528,3.59,tropicana,0
19,6144,3.59,tropicana,0
20,21120,2.39,tropicana,0
21,12416,2.39,tropicana,0
22,9472,3.59,tropicana,0
23,17920,2.59,tropicana,0
24,9408,2.59,tropicana,0
25,6272,3.59,tropicana,0
26,6912,3.59,tropicana,0
27,16768,2.49,tropicana,0
28,6272,3.59,tropicana,0
29,7936,3.59,tropicana,0
30,6144,3.59,tropicana,0
31,7936,3.59,tropicana,0
32,7808,3.59,tropicana,0
33,6080,3.59,tropicana,0
34,42176.00001,1.69,tropicana,1
35,4928,3.59,tropicana,0
36,29503.99999,1.99,tropicana,1
37,9984,3.59,tropicana,0
38,35200.00001,1.99,tropicana,1
39,23936.00001,1.99,tropicana,0
40,7104,3.59,tropicana,0
41,24512.00001,2.29,tropicana,1
42,6336,3.59,tropicana,0
43,6080,3.59,tropicana,0
44,33536.00001,1.99,tropicana,0
45,13248,1.99,tropicana,0
46,6208,3.59,tropicana,0
47,10624,3.59,tropicana,0
48,44671.99999,1.99,tropicana,0
49,20096,1.99,tropicana,0
50,9152,3.59,tropicana,1
51,21952,2.19,tropicana,0
52,13568,2.19,tropicana,0
53,4160,3.59,tropicana,0
54,39424,1.99,tropicana,1
55,5632,3.59,tropicana,0
56,9024,2.68,tropicana,1
57,6016,3.44,tropicana,0
58,7744,3.14,tropicana,0
59,6784,3.07,tropicana,0
60,6784,3.07,tropicana,0
61,6272,3.07,tropicana,0
62,5312,3.07,tropicana,0
63,9216,3.11,tropicana,0
64,7296,3.19,tropicana,0
65,34239.99999,1.99,tropicana,1
66,7168,2.64,tropicana,0
67,6080,3.19,tropicana,0
68,5120,3.19,tropicana,0
69,8320,2.74,tropicana,0
70,17728,2.39,tropicana,0
71,13120,2.35,tropicana,0
72,13120,2.29,tropicana,0
73,9792,2.43,tropicana,0
74,3520,3.19,tropicana,0
75,5504,3.19,tropicana,0
76,6720,3.19,tropicana,0
77,20224,1.99,tropicana,1
78,5056,3.19,tropicana,0
79,43584.00002,1.99,tropicana,1
80,25728,1.79,tropicana,0
81,31807.99999,1.79,tropicana,0
82,20736,1.91,tropicana,0
83,15168,2.81,tropicana,0
